ID;Osoite;Kunta;Kartonkipakkaukset;Lasipakkaukset;Metalli;Muovipakkaukset;Paperi;Vaatteet
01-10142;Riitaniityntie 19, Onkimaa;Askola;X;X;X;;X;
01-10143;Pappilantie 1, Askola;Askola;X;X;X;X;X;X
01-10144;Helkamäentie 34, Monninkylä;Askola;X;X;X;;X;X
01-10170;Kilonkuja 4, Espoo;Espoo;X;X;X;X;X;X
01-10171;Kilonpuistonkatu 14, Espoo;Espoo;X;X;X;X;X;X
01-10172;Valakuja 1, Espoo;Espoo;X;X;X;X;X;X
01-10174;Hiiralantie 2, Espoo;Espoo;X;X;X;;X;X
01-10175;Kirstintie 9 A, Espoo;Espoo;X;X;X;;X;X
01-10176;Hansatie 3, Espoo;Espoo;X;X;X;;X;X
01-10178;Kivenlahdentie 11, Espoo;Espoo;X;X;X;;X;X
01-10179;Kylänportti 16, Espoo;Espoo;X;X;X;X;X;X
01-10184;Leppävaarankatu 3-9, Espoo;Espoo;X;X;X;X;X;
01-10185;Vanha Maantie 13 A, Espoo;Espoo;X;X;X;;X;X
01-10186;Martinsillantie 10, Espoo;Espoo;X;X;X;X;X;X
01-10187;Puronvarsi, Espoo;Espoo;X;X;X;;X;X
01-10188;Lintukorpi, Espoo;Espoo;X;X;X;;X;X
01-10189;Harmaaparranpolku, Espoo;Espoo;X;X;X;;X;X
01-10190;Lystimäentie, Espoo;Espoo;X;X;X;;X;X
01-10191;Kutojantie 3, Espoo;Espoo;X;X;X;X;X;
01-10192;Sinimäentie 4, Espoo;Espoo;X;X;X;X;X;X
01-10193;Oxfotintie 1, Espoo;Espoo;X;X;X;X;X;X
01-10194;Suokulma, Espoo;Espoo;X;X;X;;X;X
01-10196;Riistatie 2, Espoo;Espoo;X;X;X;;X;X
01-10197;Aarnivalkeantie 14, Espoo;Espoo;X;X;X;X;X;X
01-10198;Kotkapolku 2, Espoo;Espoo;X;X;X;;X;X
01-10199;Kuusiniementie 1, Espoo;Espoo;X;X;X;X;X;X
01-10200;Kokinkyläntie 1, Espoo;Espoo;X;X;X;X;X;X
01-10202;Pitkännotkontie 27, Espoo;Espoo;X;X;X;X;X;X
01-10203;Lähderanta, Espoo;Espoo;X;X;X;X;X;X
01-10204;Kuunkehrä 2, Espoo;Espoo;X;X;X;X;X;X
01-10205;Malminkorpi 2, Espoo;Espoo;X;X;X;X;X;X
01-10206;Riihiniityntie, Espoo;Espoo;X;X;X;;X;X
01-10207;Alatörmä 4, Espoo;Espoo;X;X;X;X;X;X
01-10208;Juvankartanontie 33, Espoo;Espoo;X;X;X;;X;X
01-10209;Niipperintie, Espoo;Espoo;X;X;X;X;X;X
01-10321;Ratakatu 17, Hanko;Hanko;X;X;X;X;X;
01-10323;Lähteentie 1, Hanko;Hanko;X;X;X;;X;X
01-10327;Kadermonkatu 36, Hanko;Hanko;X;X;X;;X;X
01-10329;Satamatie 1, Lappohja;Hanko;X;X;X;;X;X
01-10382;Hiihtäjäntie 2 A, Helsinki;Helsinki;X;X;X;X;X;X
01-10383;Hitsaajankatu 16, Helsinki;Helsinki;X;X;X;;X;X
01-10385;Koulumestarintie, Helsinki;Helsinki;X;X;X;;X;X
01-10390;Muuttolinnuntie, Helsinki;Helsinki;X;X;X;X;X;X
01-10391;Takaniitynkuja 2, Helsinki;Helsinki;X;X;X;;X;X
01-10392;Rusthollarintie 19, Helsinki;Helsinki;X;X;X;;X;X
01-10394;Allastie 3, Helsinki;Helsinki;X;X;X;;X;X
01-10396;Teemuntie, Helsinki;Helsinki;X;X;X;;X;X
01-10399;Jakomäentie 2a, Helsinki;Helsinki;X;X;X;X;X;X
01-10401;Laajalahdentie 30, Helsinki;Helsinki;X;X;X;X;X;X
01-10402;Naantalintie 2, Helsinki;Helsinki;X;X;X;;X;X
01-10403;Koirasaarentie, Helsinki;Helsinki;X;X;X;X;X;X
01-10404;Kuvernöörintie 6, Helsinki;Helsinki;X;X;X;X;X;X
01-10406;Maneesikatu, Helsinki;Helsinki;X;X;X;X;X;X
01-10407;Riihenkulma, Helsinki;Helsinki;X;X;X;;X;X
01-10408;Satumaanpolku, Helsinki;Helsinki;X;X;X;;X;X
01-10409;Simpukkakuja 2, Helsinki;Helsinki;X;X;X;;X;X
01-10410;Ristipellonkuja 2, Helsinki;Helsinki;X;X;X;;X;X
01-10412;Kantelettarentie 1, Helsinki;Helsinki;X;X;X;X;X;X
01-10413;Lauttasaarentie, Helsinki;Helsinki;X;X;X;;X;X
01-10417;Ostostie 6, Helsinki;Helsinki;X;X;X;X;X;X
01-10418;Pajamäentie 12-14, Helsinki;Helsinki;X;X;X;;X;
01-10420;Torpparinmäentie 1 A, Helsinki;Helsinki;X;X;X;X;X;X
01-10421;Riskutie, Helsinki;Helsinki;X;X;X;;X;X
01-10422;Karhusaarentie 34, Helsinki;Helsinki;X;X;X;;X;
01-10423;Reelinki 45, Helsinki;Helsinki;X;X;X;X;X;X
01-10425;Perkiöntie, Helsinki;Helsinki;X;X;X;X;X;X
01-10426;Kiskontie, Helsinki;Helsinki;X;X;X;;X;
01-10427;Penttilänaukio, Helsinki;Helsinki;X;X;X;X;X;X
01-10428;Jousimiehentie 1, Helsinki;Helsinki;X;X;X;X;X;X
01-10429;Pikkusuonkuja 1, Helsinki;Helsinki;X;X;X;X;X;X
01-10431;Meri-Rastilan Tie 4, Helsinki;Helsinki;X;X;X;;X;X
01-10432;Isonvillasaarentie, Helsinki;Helsinki;X;X;X;X;X;X
01-10435;Kulosaarentie 2, Helsinki;Helsinki;X;X;X;;X;X
01-10436;Landbontie 2, Helsinki;Helsinki;X;X;X;;X;X
01-11180;Mäntylänkatu 2, Karkkila;Karkkila;X;X;X;X;X;X
01-11187;Järvenpääntie 1, Karkkila;Karkkila;X;X;X;;X;
01-11270;Helsingintie, Kauniainen;Kauniainen;X;X;X;;X;X
01-11271;Stenbergintie, Kauniainen;Kauniainen;X;X;X;X;X;X
01-11394;Asemankaari 1, Kirkkonummi;Kirkkonummi;X;X;X;;X;X
01-11395;Munkinmäentie 29, Kirkkonummi;Kirkkonummi;X;X;X;X;X;X
01-11396;Hevoshaansilta, Kirkkonummi;Kirkkonummi;X;X;X;X;X;X
01-11397;Hirvitie 3-5, Kirkkonummi;Kirkkonummi;X;X;X;X;X;X
01-11398;Ravalsintie 14, Kirkkonummi;Kirkkonummi;X;X;X;;X;X
01-11399;Sokeritehtaantie 9, Kantvik;Kirkkonummi;X;X;X;X;X;
01-11400;Tinankuja 1, Masala;Kirkkonummi;X;X;X;X;X;X
01-11401;Sirkkelitie, Lapinkylä;Kirkkonummi;X;X;X;;X;X
