,ID,Osoite,Kunta,Kartonkipakkaukset,Lasipakkaukset,Metalli,Muovipakkaukset,Paperi,Vaatteet,location,point
0,01-10142,"Riitaniityntie 19, Onkimaa",Askola,1,1,1,0,1,0,,
1,01-10143,"Pappilantie 1, Askola",Askola,1,1,1,1,1,1,"Pappilantie, Vakkola, Askola, Porvoon seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 07500, Suomi / Finland","(60.5267971, 25.6026316, 0.0)"
2,01-10144,"Helkamäentie 34, Monninkylä",Askola,1,1,1,0,1,1,"Helkamäentie, Monninkylä, Askola, Porvoon seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 07230, Suomi / Finland","(60.4940761, 25.5376871, 0.0)"
3,01-10170,"Kilonkuja 4, Espoo",Espoo,1,1,1,1,1,1,"Kilonkuja, Kuninkainen, Kilo, Suur-Leppävaara, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02610, Suomi / Finland","(60.2186566, 24.7808224, 0.0)"
4,01-10171,"Kilonpuistonkatu 14, Espoo",Espoo,1,1,1,1,1,1,"K-Market Kilo, 14, Kilonpuistonkatu, Nuijala, Kilo, Suur-Leppävaara, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02610, Suomi / Finland","(60.21672195, 24.782206533801958, 0.0)"
5,01-10172,"Valakuja 1, Espoo",Espoo,1,1,1,1,1,1,"Valakuja, Suvela, Espoon keskus, Vanha-Espoo, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02770, Suomi / Finland","(60.2036199, 24.659876, 0.0)"
6,01-10174,"Hiiralantie 2, Espoo",Espoo,1,1,1,0,1,1,"Hiiralantie, Westend, Suur-Tapiola, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02160, Suomi / Finland","(60.1642612, 24.7939151, 0.0)"
7,01-10175,"Kirstintie 9 A, Espoo",Espoo,1,1,1,0,1,1,"Kirstintie, Suvela, Espoon keskus, Vanha-Espoo, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02760, Suomi / Finland","(60.2000686, 24.6636578, 0.0)"
8,01-10176,"Hansatie 3, Espoo",Espoo,1,1,1,0,1,1,"R-Kioski Kauklahti, 3, Hansatie, Suolatori, Kauklahti, Suur-Kauklahti, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02780, Suomi / Finland","(60.18960225, 24.6002077004553, 0.0)"
9,01-10178,"Kivenlahdentie 11, Espoo",Espoo,1,1,1,0,1,1,"Höyrylaivantie, Espoonlahden keskus, Espoonlahti, Suur-Espoonlahti, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02320, Suomi / Finland","(60.1522245, 24.6597364, 0.0)"
10,01-10179,"Kylänportti 16, Espoo",Espoo,1,1,1,1,1,1,"K-Supermarket Aurora, 16, Kylänportti, Järvenperä, Vanha-Espoo, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02940, Suomi / Finland","(60.240539049999995, 24.70061847892278, 0.0)"
11,01-10184,"Leppävaarankatu 3-9, Espoo",Espoo,1,1,1,1,1,0,"Lasten kappeli Arkki, 3-9, Leppävaarankatu, Säteri, Etelä-Leppävaara, Leppävaara, Suur-Leppävaara, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02600, Suomi / Finland","(60.217516, 24.810422, 0.0)"
12,01-10185,"Vanha Maantie 13 A, Espoo",Espoo,1,1,1,0,1,1,"Vanha maantie, Pohjois-Leppävaara, Leppävaara, Suur-Leppävaara, Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 02600, Suomi / Finland","(60.2207889, 24.8081464, 0.0)"
